Stock,Trend,Used_Swing,Current_Price,Current_Swing_High,Current_Swing_Low,Prev_Swing_High,Prev_Swing_Low,Fib_Level,Level_Price,Distance_from_LTP
HDFCBANK,Downtrend,Current Swing,994.75,1020.5,939.1,1020.5,939.1,23.60%,1001.29,+0.66%
HDFCBANK,Downtrend,Current Swing,994.75,1020.5,939.1,1020.5,939.1,38.20%,989.41,-0.54%
HDFCBANK,Downtrend,Current Swing,994.75,1020.5,939.1,1020.5,939.1,50.00%,979.8,-1.50%
ICICIBANK,Downtrend,Current Swing,1377.7,1494.5,1342.6,1494.5,1342.6,61.80%,1400.63,+1.66%
ICICIBANK,Downtrend,Current Swing,1377.7,1494.5,1342.6,1494.5,1342.6,78.60%,1375.11,-0.19%
RELIANCE,Uptrend,Current Swing,1451.6,1482.9,1340.6,1482.9,1340.6,23.60%,1449.32,-0.16%
RELIANCE,Uptrend,Current Swing,1451.6,1482.9,1340.6,1482.9,1340.6,38.20%,1428.54,-1.59%
INFY,Uptrend,Current Swing,1525.4,1555.0,1414.0,1555.0,1414.0,23.60%,1521.72,-0.24%
INFY,Uptrend,Current Swing,1525.4,1555.0,1414.0,1555.0,1414.0,38.20%,1501.14,-1.59%
TCS,Uptrend,Current Swing,3063.2,3203.0,2866.6,3203.0,2866.6,23.60%,3123.61,+1.97%
TCS,Uptrend,Current Swing,3063.2,3203.0,2866.6,3203.0,2866.6,38.20%,3074.5,+0.37%
TCS,Uptrend,Current Swing,3063.2,3203.0,2866.6,3203.0,2866.6,50.00%,3034.8,-0.93%
