MacroEconomicSector,Sector,Industry,BasicIndustry,Stock,SectorWeight%,StockWeight%,BasicIndustryWeight%
Financial Services,Financial Services,Banks,Private Sector Bank,HDFCBANK,32.12,7.31,17.45
Financial Services,Financial Services,Banks,Private Sector Bank,ICICIBANK,32.12,4.98,17.45
Financial Services,Financial Services,Banks,Private Sector Bank,AXISBANK,32.12,2.02,17.45
Financial Services,Financial Services,Banks,Private Sector Bank,KOTAKBANK,32.12,1.54,17.45
Financial Services,Financial Services,Banks,Private Sector Bank,FEDERALBNK,32.12,0.36,17.45
Financial Services,Financial Services,Banks,Private Sector Bank,INDUSINDBK,32.12,0.3,17.45
Financial Services,Financial Services,Banks,Private Sector Bank,IDFCFIRSTB,32.12,0.28,17.45
Financial Services,Financial Services,Banks,Private Sector Bank,YESBANK,32.12,0.19,17.45
Financial Services,Financial Services,Banks,Private Sector Bank,KARURVYSYA,32.12,0.15,17.45
Financial Services,Financial Services,Banks,Private Sector Bank,CUB,32.12,0.11,17.45
Financial Services,Financial Services,Banks,Private Sector Bank,RBLBANK,32.12,0.09,17.45
Financial Services,Financial Services,Banks,Private Sector Bank,BANDHANBNK,32.12,0.07,17.45
Financial Services,Financial Services,Banks,Private Sector Bank,IDBI,32.12,0.03,17.45
Financial Services,Financial Services,Banks,Private Sector Bank,J&KBANK,32.12,0.02,17.45
Financial Services,Financial Services,Banks,Public Sector Bank,SBIN,32.12,2.3,3.66
Financial Services,Financial Services,Banks,Public Sector Bank,BANKBARODA,32.12,0.29,3.66
Financial Services,Financial Services,Banks,Public Sector Bank,CANBK,32.12,0.26,3.66
Financial Services,Financial Services,Banks,Public Sector Bank,PNB,32.12,0.22,3.66
Financial Services,Financial Services,Banks,Public Sector Bank,UNIONBANK,32.12,0.18,3.66
Financial Services,Financial Services,Banks,Public Sector Bank,INDIANB,32.12,0.17,3.66
Financial Services,Financial Services,Banks,Public Sector Bank,BANKINDIA,32.12,0.1,3.66
Financial Services,Financial Services,Banks,Public Sector Bank,MAHABANK,32.12,0.07,3.66
Financial Services,Financial Services,Banks,Public Sector Bank,IOB,32.12,0.03,3.66
Financial Services,Financial Services,Banks,Public Sector Bank,CENTRALBK,32.12,0.02,3.66
Financial Services,Financial Services,Banks,Public Sector Bank,UCOBANK,32.12,0.02,3.66
Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),BAJFINANCE,32.12,1.27,3.5100000000000002
Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),SHRIRAMFIN,32.12,0.74,3.5100000000000002
Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),CHOLAFIN,32.12,0.36,3.5100000000000002
Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),MUTHOOTFIN,32.12,0.21,3.5100000000000002
Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),SUNDARMFIN,32.12,0.19,3.5100000000000002
Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),M&MFIN,32.12,0.13,3.5100000000000002
Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),LTF,32.12,0.12,3.5100000000000002
Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),SBICARD,32.12,0.12,3.5100000000000002
Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),MANAPPURAM,32.12,0.08,3.5100000000000002
Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),AIIL,32.12,0.07,3.5100000000000002
Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),IIFL,32.12,0.06,3.5100000000000002
Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),POONAWALLA,32.12,0.06,3.5100000000000002
Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),FIVESTAR,32.12,0.05,3.5100000000000002
Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),CGCL,32.12,0.03,3.5100000000000002
Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),SBFC,32.12,0.02,3.5100000000000002
Financial Services,Financial Services,Insurance,Life Insurance,SBILIFE,32.12,0.46,1.3
Financial Services,Financial Services,Insurance,Life Insurance,HDFCLIFE,32.12,0.4,1.3
Financial Services,Financial Services,Insurance,Life Insurance,MFSL,32.12,0.22,1.3
Financial Services,Financial Services,Insurance,Life Insurance,ICICIPRULI,32.12,0.13,1.3
Financial Services,Financial Services,Insurance,Life Insurance,LICI,32.12,0.09,1.3
Financial Services,Financial Services,Capital Markets,Exchange and Data Platform,BSE,32.12,0.59,0.97
Financial Services,Financial Services,Capital Markets,Exchange and Data Platform,MCX,32.12,0.33,0.97
Financial Services,Financial Services,Capital Markets,Exchange and Data Platform,IEX,32.12,0.05,0.97
Financial Services,Financial Services,Finance,Holding Company,BAJAJFINSV,32.12,0.57,0.8699999999999999
Financial Services,Financial Services,Finance,Holding Company,BAJAJHLDNG,32.12,0.24,0.8699999999999999
Financial Services,Financial Services,Finance,Holding Company,CHOICEIN,32.12,0.03,0.8699999999999999
Financial Services,Financial Services,Finance,Holding Company,JMFINANCIL,32.12,0.03,0.8699999999999999
Financial Services,Financial Services,Finance,Financial Institution,PFC,32.12,0.28,0.74
Financial Services,Financial Services,Finance,Financial Institution,RECLTD,32.12,0.23,0.74
Financial Services,Financial Services,Finance,Financial Institution,IRFC,32.12,0.11,0.74
Financial Services,Financial Services,Finance,Financial Institution,HUDCO,32.12,0.05,0.74
Financial Services,Financial Services,Finance,Financial Institution,IREDA,32.12,0.05,0.74
Financial Services,Financial Services,Finance,Financial Institution,IFCI,32.12,0.02,0.74
Financial Services,Financial Services,Finance,Investment Company,JIOFIN,32.12,0.43,0.72
Financial Services,Financial Services,Finance,Investment Company,ABCAPITAL,32.12,0.13,0.72
