Stock,LTP,Swing Type,Near Level,Level Price,Dist %
3MINDIA,35250.0,Bullish,23.6%,35289.56,0.11
AADHARHFC,473.1,Bearish,0.0%,472.75,0.07
ABB,4872.5,Bullish,100.0%,4896.0,0.48
ABLBL,116.11,Bearish,0.0%,115.0,0.97
ADANIENT,2157.3,Bearish,0.0%,2172.2,0.69
ADANIPORTS,1421.9,Bullish,100.0%,1425.0,0.22
AEGISLOG,706.75,Bearish,0.0%,702.0,0.68
AFFLE,1723.5,Bearish,23.6%,1722.69,0.05
AGARWALEYE,485.05,Bullish,50.0%,489.55,0.92
AIIL,631.2,Bearish,78.6%,629.56,0.26
AJANTPHARM,2680.9,Bullish,50.0%,2675.35,0.21
AKUMS,444.1,Bearish,50.0%,446.55,0.55
AKZOINDIA,3088.8,Bearish,0.0%,3080.2,0.28
ALKEM,5836.5,Bullish,0.0%,5868.0,0.54
ALOKINDS,15.55,Bearish,0.0%,15.41,0.91
AMBUJACEM,553.75,Bearish,50.0%,556.08,0.42
ANANDRATHI,3092.2,Bullish,38.2%,3097.62,0.18
ANGELONE,2752.2,Bearish,78.6%,2750.09,0.08
APOLLOHOSP,7235.5,Bearish,23.6%,7168.57,0.93
APOLLOTYRE,508.55,Bullish,38.2%,510.99,0.48
APTUS,270.0,Bearish,0.0%,271.4,0.52
ASAHIINDIA,947.3,Bullish,50.0%,939.77,0.8
ASTRAL,1464.3,Bullish,50.0%,1471.75,0.51
ATUL,6003.0,Bearish,61.8%,6007.08,0.07
AUBANK,1025.4,Bullish,0.0%,1026.8,0.14
AUROPHARMA,1172.7,Bullish,50.0%,1168.8,0.33
AXISBANK,1294.2,Bullish,0.0%,1304.6,0.8
BAJAJ-AUTO,9489.0,Bullish,23.6%,9558.43,0.73
BAJAJFINSV,2002.5,Bearish,23.6%,2009.65,0.36
BAJAJHFL,92.39,Bearish,0.0%,92.1,0.31
BALKRISIND,2447.4,Bullish,0.0%,2466.0,0.75
BANDHANBNK,144.84,Bearish,23.6%,144.09,0.52
BBTC,1816.6,Bullish,78.6%,1824.53,0.43
BDL,1516.4,Bearish,61.8%,1508.22,0.54
BEL,410.25,Bearish,61.8%,411.69,0.35
BHARTIARTL,2016.4,Bullish,50.0%,2011.3,0.25
BHEL,265.4,Bullish,78.6%,266.13,0.27
BIOCON,377.65,Bullish,50.0%,381.0,0.88
BLS,302.2,Bearish,0.0%,303.75,0.51
BLUESTARCO,1806.1,Bearish,38.2%,1819.75,0.75
BOSCHLTD,36835.0,Bullish,61.8%,36751.02,0.23
BPCL,363.2,Bullish,38.2%,364.87,0.46
BRIGADE,837.3,Bearish,0.0%,838.5,0.14
BRITANNIA,5898.5,Bullish,61.8%,5932.34,0.57
BSOFT,433.1,Bullish,23.6%,429.75,0.78
CAMPUS,250.75,Bearish,0.0%,253.1,0.93
CAMS,727.8,Bearish,0.0%,722.0,0.8
CANBK,157.13,Bullish,0.0%,158.0,0.55
CANFINHOME,919.4,Bullish,23.6%,915.21,0.46
CAPLIPOINT,1826.2,Bearish,23.6%,1827.22,0.06
CARBORUNIV,814.1,Bearish,0.0%,813.3,0.1
CASTROLIND,185.28,Bullish,78.6%,185.8,0.28
CCL,971.05,Bullish,38.2%,975.5,0.46
CDSL,1434.3,Bearish,0.0%,1421.0,0.94
CEATLTD,3793.4,Bearish,23.6%,3815.49,0.58
CENTRALBK,38.58,Bearish,61.8%,38.64,0.17
CHALET,877.3,Bearish,23.6%,880.9,0.41
CHENNPETRO,859.95,Bullish,61.8%,864.33,0.51
CHOICEIN,822.65,Bullish,23.6%,821.98,0.08
CHOLAFIN,1699.2,Bullish,50.0%,1693.1,0.36
CHOLAHLDNG,1772.3,Bearish,0.0%,1785.0,0.71
COLPAL,2104.8,Bearish,23.6%,2114.7,0.47
CONCOR,519.7,Bearish,38.2%,520.82,0.22
COROMANDEL,2321.6,Bullish,38.2%,2344.86,0.99
CRAFTSMAN,7768.0,Bullish,23.6%,7705.8,0.81
CREDITACC,1299.4,Bearish,38.2%,1310.3,0.83
DABUR,514.55,Bearish,38.2%,516.53,0.38
DALBHARAT,2162.4,Bearish,61.8%,2172.1,0.45
DCMSHRIRAM,1162.8,Bullish,100.0%,1156.0,0.59
DIVISLAB,6236.0,Bullish,50.0%,6270.5,0.55
DOMS,2543.2,Bullish,61.8%,2547.94,0.19
DRREDDY,1175.5,Bearish,0.0%,1180.9,0.46
EICHERMOT,7315.0,Bullish,0.0%,7328.5,0.18
ENDURANCE,2526.0,Bearish,0.0%,2534.0,0.32
ENGINERSIN,187.17,Bearish,0.0%,188.5,0.71
ESCORTS,3678.4,Bullish,50.0%,3695.9,0.47
FACT,833.7,Bullish,61.8%,835.16,0.18
FEDERALBNK,270.25,Bullish,0.0%,271.1,0.31
FINCABLES,779.9,Bearish,50.0%,785.15,0.67
FINPIPE,176.66,Bearish,23.6%,176.36,0.17
FLUOROCHEM,3414.6,Bearish,23.6%,3391.08,0.69
GAIL,164.24,Bearish,0.0%,164.22,0.01
GESHIP,1121.6,Bullish,38.2%,1124.03,0.22
GLAXO,2345.4,Bearish,0.0%,2362.6,0.73
GLENMARK,2000.7,Bullish,38.2%,2011.93,0.56
GMRAIRPORT,99.9,Bullish,38.2%,100.65,0.74
GODREJCP,1236.9,Bullish,23.6%,1232.22,0.38
GODREJIND,1017.5,Bearish,23.6%,1016.39,0.11
GRANULES,583.1,Bullish,50.0%,578.42,0.81
GRAPHITE,639.55,Bullish,23.6%,645.16,0.87
GRASIM,2809.6,Bearish,50.0%,2826.75,0.61
GSPL,304.95,Bullish,38.2%,305.9,0.31
GUJGASLTD,410.2,Bullish,50.0%,411.48,0.31
HAVELLS,1426.1,Bearish,38.2%,1433.48,0.51
HCLTECH,1698.0,Bullish,0.0%,1695.4,0.15
HDFCAMC,2596.4,Bearish,23.6%,2617.91,0.82
HDFCBANK,931.1,Bullish,100.0%,939.1,0.85
HDFCLIFE,732.55,Bullish,100.0%,728.45,0.56
HEG,577.25,Bullish,50.0%,581.48,0.73
HEROMOTOCO,5651.5,Bullish,61.8%,5686.45,0.61
