Stock,Current Price,Date,Gap Type,Gap Size,Gap Range,Near Price,Gap Size %,Gap Dist Start %,Gap Dist End %,Status
360ONE,1197.70,16-01-26,Bullish Gap,22.70,"(1164.30, 1187.00)",TRUE,1.95,0.89,2.79,Fresh
ADANIGREEN,930.10,12-05-25,Bullish Gap,15.65,"(887.85, 903.50)",TRUE,1.76,2.86,4.54,Touched
AMBER,6145.00,12-05-25,Bullish Gap,64.50,"(5970.00, 6034.50)",TRUE,1.08,1.80,2.85,Fresh
BIKAJI,699.70,12-05-25,Bullish Gap,8.55,"(681.00, 689.55)",TRUE,1.26,1.45,2.67,Touched
CAMPUS,250.75,12-05-25,Bullish Gap,4.00,"(241.00, 245.00)",TRUE,1.66,2.29,3.89,Fresh
CASTROLIND,185.28,04-02-25,Bullish Gap,2.08,"(179.20, 181.28)",TRUE,1.16,2.16,3.28,Touched
CIPLA,1397.50,16-01-26,Bearish Gap,16.20,"(1425.70, 1409.50)",TRUE,1.14,-0.86,-2.02,Fresh
GVT&D,2621.30,30-07-25,Bullish Gap,96.10,"(2500.90, 2597.00)",TRUE,3.84,0.93,4.59,Fresh
HBLENGINE,796.05,16-01-26,Bearish Gap,21.10,"(841.00, 819.90)",TRUE,2.51,-3.00,-5.65,Fresh
HDFCBANK,931.10,15-04-25,Bullish Gap,9.50,"(909.70, 919.20)",TRUE,1.04,1.28,2.30,Touched
ITCHOTELS,186.90,12-05-25,Bullish Gap,1.90,"(184.60, 186.50)",TRUE,1.03,0.21,1.23,Touched
INFY,1689.80,16-01-26,Bullish Gap,36.40,"(1617.00, 1653.40)",TRUE,2.25,2.15,4.31,Fresh
LICI,820.40,12-05-25,Bullish Gap,11.75,"(789.40, 801.15)",TRUE,1.49,2.35,3.78,Fresh
REDINGTON,263.50,06-11-25,Bullish Gap,5.90,"(255.10, 261.00)",TRUE,2.31,0.95,3.19,Touched
RELINFRA,148.51,12-01-26,Bearish Gap,7.81,"(156.32, 148.51)",TRUE,5.00,0.00,-5.26,Fresh
RPOWER,31.88,16-01-26,Bearish Gap,0.37,"(33.02, 32.65)",TRUE,1.12,-2.42,-3.58,Fresh
UNOMINDA,1184.00,18-08-25,Bullish Gap,17.20,"(1154.00, 1171.20)",TRUE,1.49,1.08,2.53,Touched
WAAREEENER,2552.20,22-04-25,Bullish Gap,42.00,"(2466.00, 2508.00)",TRUE,1.70,1.73,3.38,Fresh
