ticker,days,green,red,doji,green_pct,red_pct,doji_pct,gap_up,gap_down,gap_up_pct,gap_down_pct,gap_above_prev_high,gap_below_prev_low,gap_above_prev_high_pct,gap_below_prev_low_pct,open_equal_high,open_equal_low,open_equal_high_pct,open_equal_low_pct,sustained_gap_up,sustained_gap_down,sustained_gap_up_pct,sustained_gap_down_pct
360ONE,248,119,128,1,47.98,51.61,0.4,112,77,45.16,31.05,19,20,7.66,8.06,16,13,6.45,5.24,47,38,41.96,49.35
3MINDIA,249,100,147,2,40.16,59.04,0.8,122,61,49.0,24.5,20,9,8.03,3.61,28,9,11.24,3.61,44,28,36.07,45.9
AADHARHFC,249,108,138,3,43.37,55.42,1.2,115,59,46.18,23.69,32,15,12.85,6.02,17,11,6.83,4.42,45,25,39.13,42.37
AARTIIND,250,100,146,4,40.0,58.4,1.6,126,47,50.4,18.8,30,12,12.0,4.8,16,5,6.4,2.0,50,29,39.68,61.7
AAVAS,249,109,137,3,43.78,55.02,1.2,110,74,44.18,29.72,16,18,6.43,7.23,26,21,10.44,8.43,42,38,38.18,51.35
ABB,249,111,135,3,44.58,54.22,1.2,119,53,47.79,21.29,33,10,13.25,4.02,18,12,7.23,4.82,50,27,42.02,50.94
ABBOTINDIA,249,98,147,4,39.36,59.04,1.61,134,42,53.82,16.87,21,10,8.43,4.02,27,10,10.84,4.02,51,22,38.06,52.38
ABCAPITAL,250,128,119,3,51.2,47.6,1.2,106,63,42.4,25.2,30,17,12.0,6.8,13,13,5.2,5.2,50,31,47.17,49.21
ABFRL,250,116,130,4,46.4,52.0,1.6,120,62,48.0,24.8,13,13,5.2,5.2,17,12,6.8,4.8,56,33,46.67,53.23
ABLBL,140,57,83,0,40.71,59.29,0.0,61,40,43.57,28.57,13,4,9.29,2.86,13,2,9.29,1.43,23,22,37.7,55.0
ABREL,250,103,144,3,41.2,57.6,1.2,103,66,41.2,26.4,12,9,4.8,3.6,16,15,6.4,6.0,48,42,46.6,63.64
ABSLAMC,250,106,141,3,42.4,56.4,1.2,111,56,44.4,22.4,30,20,12.0,8.0,18,14,7.2,5.6,47,29,42.34,51.79
ACC,250,107,139,4,42.8,55.6,1.6,135,43,54.0,17.2,33,7,13.2,2.8,19,9,7.6,3.6,56,26,41.48,60.47
ACE,250,97,150,3,38.8,60.0,1.2,136,52,54.4,20.8,23,15,9.2,6.0,24,9,9.6,3.6,51,26,37.5,50.0
ACMESOLAR,249,96,149,4,38.55,59.84,1.61,137,59,55.02,23.69,29,11,11.65,4.42,23,11,9.24,4.42,53,37,38.69,62.71
ADANIENSOL,248,113,135,0,45.56,54.44,0.0,162,41,65.32,16.53,16,12,6.45,4.84,13,3,5.24,1.21,70,19,43.21,46.34
ADANIENT,250,100,147,3,40.0,58.8,1.2,139,44,55.6,17.6,33,14,13.2,5.6,16,5,6.4,2.0,55,27,39.57,61.36
ADANIGREEN,250,102,145,3,40.8,58.0,1.2,149,38,59.6,15.2,30,12,12.0,4.8,12,13,4.8,5.2,62,27,41.61,71.05
ADANIPORTS,250,106,139,5,42.4,55.6,2.0,126,44,50.4,17.6,29,13,11.6,5.2,16,8,6.4,3.2,49,22,38.89,50.0
ADANIPOWER,250,93,154,3,37.2,61.6,1.2,145,47,58.0,18.8,24,11,9.6,4.4,11,9,4.4,3.6,47,28,32.41,59.57
AEGISLOG,248,104,144,0,41.94,58.06,0.0,127,68,51.21,27.42,8,7,3.23,2.82,9,9,3.63,3.63,48,38,37.8,55.88
AEGISVOPAK,157,70,86,1,44.59,54.78,0.64,63,57,40.13,36.31,16,6,10.19,3.82,14,6,8.92,3.82,28,30,44.44,52.63
AFCONS,250,106,141,3,42.4,56.4,1.2,115,80,46.0,32.0,20,19,8.0,7.6,17,21,6.8,8.4,37,39,32.17,48.75
AFFLE,249,121,125,3,48.59,50.2,1.2,109,80,43.78,32.13,17,15,6.83,6.02,17,10,6.83,4.02,43,32,39.45,40.0
AGARWALEYE,234,124,107,3,52.99,45.73,1.28,66,93,28.21,39.74,18,14,7.69,5.98,27,17,11.54,7.26,27,30,40.91,32.26
AIAENG,249,119,127,3,47.79,51.0,1.2,103,66,41.37,26.51,23,16,9.24,6.43,18,14,7.23,5.62,43,24,41.75,36.36
AIIL,248,120,128,0,48.39,51.61,0.0,110,85,44.35,34.27,30,11,12.1,4.44,21,19,8.47,7.66,55,49,50.0,57.65
AJANTPHARM,248,114,133,1,45.97,53.63,0.4,112,76,45.16,30.65,22,13,8.87,5.24,17,13,6.85,5.24,52,43,46.43,56.58
AKUMS,247,97,149,1,39.27,60.32,0.4,118,77,47.77,31.17,19,12,7.69,4.86,30,12,12.15,4.86,48,44,40.68,57.14
AKZOINDIA,249,95,152,2,38.15,61.04,0.8,123,58,49.4,23.29,15,9,6.02,3.61,35,10,14.06,4.02,38,28,30.89,48.28
ALKEM,250,115,132,3,46.0,52.8,1.2,111,66,44.4,26.4,33,14,13.2,5.6,23,14,9.2,5.6,44,30,39.64,45.45
ALKYLAMINE,248,108,139,1,43.55,56.05,0.4,95,80,38.31,32.26,16,13,6.45,5.24,11,14,4.44,5.65,40,41,42.11,51.25
ALOKINDS,250,91,152,7,36.4,60.8,2.8,106,56,42.4,22.4,16,21,6.4,8.4,18,11,7.2,4.4,35,39,33.02,69.64
AMBER,250,122,125,3,48.8,50.0,1.2,128,71,51.2,28.4,17,9,6.8,3.6,15,12,6.0,4.8,63,37,49.22,52.11
