SYMBOL,CURRENT_PRICE,LEVEL,TYPE,STRENGTH,DIST_%
BIOCON.NS,378.9,380.1,Support,9,0.32
BIOCON.NS,378.9,350.4,Support,11,-7.52
BIOCON.NS,378.9,399.6,Resistance,17,5.46
BIOCON.NS,378.9,291.0,Support,1,-23.2
BIOCON.NS,378.9,338.9,Resistance,14,-10.56
BIOCON.NS,378.9,308.45,Support,3,-18.59
BIOCON.NS,378.9,327.6,Support,9,-13.54
BIOCON.NS,378.9,364.65,Resistance,15,-3.76
BIOCON.NS,378.9,424.95,Resistance,4,12.15
BIOCON.NS,378.9,412.5,Resistance,2,8.87
TBOTEK.NS,1551.7,1450.0,Support,3,-6.55
TBOTEK.NS,1551.7,1677.55,Resistance,9,8.11
TBOTEK.NS,1551.7,1583.35,Resistance,7,2.04
TBOTEK.NS,1551.7,1138.05,Support,1,-26.66
TBOTEK.NS,1551.7,996.0,Support,2,-35.81
TBOTEK.NS,1551.7,1376.0,Resistance,7,-11.32
TBOTEK.NS,1551.7,1269.5,Support,6,-18.19
TBOTEK.NS,1551.7,1764.8,Resistance,1,13.73
IDBI.NS,104.99,87.48,Resistance,4,-16.68
IDBI.NS,104.99,73.66,Support,3,-29.84
IDBI.NS,104.99,83.38,Resistance,4,-20.58
IDBI.NS,104.99,70.01,Support,2,-33.32
IDBI.NS,104.99,90.51,Support,6,-13.79
IDBI.NS,104.99,106.32,Resistance,4,1.27
IDBI.NS,104.99,95.0,Support,3,-9.52
IDBI.NS,104.99,99.0,Resistance,7,-5.71
IDBI.NS,104.99,102.24,Resistance,19,-2.62
IDBI.NS,104.99,118.38,Resistance,1,12.75
3MINDIA.NS,35495.0,28560.15,Support,12,-19.54
3MINDIA.NS,35495.0,30257.95,Resistance,24,-14.75
3MINDIA.NS,35495.0,26222.05,Support,3,-26.12
3MINDIA.NS,35495.0,27799.0,Resistance,3,-21.68
3MINDIA.NS,35495.0,31160.0,Resistance,12,-12.21
3MINDIA.NS,35495.0,32195.0,Resistance,3,-9.3
3MINDIA.NS,35495.0,29480.0,Resistance,20,-16.95
3MINDIA.NS,35495.0,34910.0,Support,12,-1.65
3MINDIA.NS,35495.0,35815.0,Resistance,10,0.9
3MINDIA.NS,35495.0,33490.0,Support,1,-5.65
3MINDIA.NS,35495.0,37305.0,Resistance,1,5.1
LTTS.NS,4240.0,5108.9,Support,1,20.49
LTTS.NS,4240.0,5645.0,Resistance,3,33.14
LTTS.NS,4240.0,4794.0,Support,4,13.07
LTTS.NS,4240.0,4431.7,Support,20,4.52
LTTS.NS,4240.0,4562.0,Resistance,14,7.59
LTTS.NS,4240.0,4135.1,Support,20,-2.47
LTTS.NS,4240.0,4296.1,Support,27,1.32
LTTS.NS,4240.0,3951.3,Support,2,-6.81
ELECON.NS,396.45,613.8,Resistance,8,54.82
ELECON.NS,396.45,502.05,Support,3,26.64
ELECON.NS,396.45,543.45,Resistance,6,37.08
ELECON.NS,396.45,472.65,Support,6,19.22
ELECON.NS,396.45,431.0,Support,3,8.71
ELECON.NS,396.45,376.95,Support,1,-4.92
ELECON.NS,396.45,687.0,Resistance,6,73.29
ELECON.NS,396.45,587.2,Resistance,5,48.11
CCL.NS,961.0,586.0,Support,4,-39.02
CCL.NS,961.0,551.0,Support,7,-42.66
CCL.NS,961.0,650.0,Resistance,1,-32.36
CCL.NS,961.0,804.85,Resistance,2,-16.25
CCL.NS,961.0,710.85,Support,1,-26.03
CCL.NS,961.0,857.55,Support,5,-10.76
CCL.NS,961.0,936.8,Resistance,6,-2.52
CCL.NS,961.0,891.2,Support,9,-7.26
CCL.NS,961.0,1074.4,Resistance,3,11.8
CCL.NS,961.0,975.6,Support,7,1.52
ASTRAZEN.NS,8298.0,7182.95,Resistance,1,-13.44
ASTRAZEN.NS,8298.0,6720.0,Support,8,-19.02
ASTRAZEN.NS,8298.0,7726.1,Resistance,4,-6.89
ASTRAZEN.NS,8298.0,8239.55,Support,7,-0.7
ASTRAZEN.NS,8298.0,8759.0,Resistance,5,5.56
ASTRAZEN.NS,8298.0,9211.0,Resistance,39,11.0
ASTRAZEN.NS,8298.0,10691.0,Resistance,1,28.84
ASTRAZEN.NS,8298.0,9650.5,Resistance,1,16.3
TRIVENI.NS,340.0,357.05,Support,17,5.01
TRIVENI.NS,340.0,397.7,Resistance,12,16.97
TRIVENI.NS,340.0,338.7,Support,13,-0.38
TRIVENI.NS,340.0,377.9,Resistance,16,11.15
TRIVENI.NS,340.0,450.0,Resistance,2,32.35
TRIVENI.NS,340.0,418.0,Support,7,22.94
TRIVENI.NS,340.0,325.1,Support,2,-4.38
PIIND.NS,3284.8,3623.95,Resistance,10,10.32
PIIND.NS,3284.8,3097.6,Support,3,-5.7
PIIND.NS,3284.8,3237.05,Resistance,7,-1.45
PIIND.NS,3284.8,2951.1,Support,3,-10.16
PIIND.NS,3284.8,3742.5,Resistance,14,13.93
PIIND.NS,3284.8,3520.0,Support,20,7.16
PIIND.NS,3284.8,3834.9,Resistance,6,16.75
PIIND.NS,3284.8,4015.0,Resistance,2,22.23
PIIND.NS,3284.8,4198.0,Resistance,10,27.8
PIIND.NS,3284.8,4330.0,Resistance,2,31.82
PIIND.NS,3284.8,3385.2,Support,10,3.06
HOMEFIRST.NS,1083.0,973.75,Support,6,-10.09
HOMEFIRST.NS,1083.0,880.05,Support,2,-18.74
HOMEFIRST.NS,1083.0,1076.6,Resistance,6,-0.59
HOMEFIRST.NS,1083.0,1121.7,Resistance,8,3.57
HOMEFIRST.NS,1083.0,1319.8,Resistance,3,21.87
HOMEFIRST.NS,1083.0,1210.1,Support,17,11.74
HOMEFIRST.NS,1083.0,1510.0,Resistance,1,39.43
HOMEFIRST.NS,1083.0,1375.0,Resistance,4,26.96
HOMEFIRST.NS,1083.0,1264.0,Resistance,8,16.71
MAPMYINDIA.NS,1529.0,1670.0,Resistance,14,9.22
MAPMYINDIA.NS,1529.0,1595.0,Support,11,4.32
MAPMYINDIA.NS,1529.0,1764.0,Resistance,13,15.37
MAPMYINDIA.NS,1529.0,1540.0,Support,3,0.72
MAPMYINDIA.NS,1529.0,1862.7,Resistance,8,21.82
MAPMYINDIA.NS,1529.0,1966.9,Resistance,3,28.64
RITES.NS,231.5,279.0,Resistance,10,20.52
