SYMBOL,LTP,SUPPORTS,RESISTANCES
BIOCON.NS,378.9,364.65 (-3.76%) | 350.40 (-7.52%),380.10 (+0.32%) | 399.60 (+5.46%)
TBOTEK.NS,1551.7,1450.00 (-6.55%) | 1376.00 (-11.32%),1583.35 (+2.04%) | 1677.55 (+8.11%)
IDBI.NS,104.99,102.24 (-2.62%) | 99.00 (-5.71%),106.32 (+1.27%) | 118.38 (+12.75%)
3MINDIA.NS,35495.0,34910.00 (-1.65%) | 33490.00 (-5.65%),35815.00 (+0.90%) | 37305.00 (+5.10%)
LTTS.NS,4240.0,4135.10 (-2.47%) | 3951.30 (-6.81%),4296.10 (+1.32%) | 4431.70 (+4.52%)
ELECON.NS,396.45,376.95 (-4.92%),431.00 (+8.71%) | 472.65 (+19.22%)
CCL.NS,961.0,936.80 (-2.52%) | 891.20 (-7.26%),975.60 (+1.52%) | 1074.40 (+11.80%)
ASTRAZEN.NS,8298.0,8239.55 (-0.70%) | 7726.10 (-6.89%),8759.00 (+5.56%) | 9211.00 (+11.00%)
TRIVENI.NS,340.0,338.70 (-0.38%) | 325.10 (-4.38%),357.05 (+5.01%) | 377.90 (+11.15%)
PIIND.NS,3284.8,3237.05 (-1.45%) | 3097.60 (-5.70%),3385.20 (+3.06%) | 3520.00 (+7.16%)
HOMEFIRST.NS,1083.0,1076.60 (-0.59%) | 973.75 (-10.09%),1121.70 (+3.57%) | 1210.10 (+11.74%)
MAPMYINDIA.NS,1529.0,,1540.00 (+0.72%) | 1595.00 (+4.32%)
RITES.NS,231.5,230.15 (-0.58%) | 220.05 (-4.95%),243.15 (+5.03%) | 259.49 (+12.09%)
NTPCGREEN.NS,92.01,89.30 (-2.95%) | 84.55 (-8.11%),93.66 (+1.79%) | 96.78 (+5.18%)
HEG.NS,563.55,550.90 (-2.24%) | 516.00 (-8.44%),619.00 (+9.84%) | 644.90 (+14.44%)
JSL.NS,795.0,783.90 (-1.40%) | 741.00 (-6.79%),812.80 (+2.24%) | 884.00 (+11.19%)
AUROPHARMA.NS,1180.0,1174.60 (-0.46%) | 1133.05 (-3.98%),1230.70 (+4.30%) | 1278.60 (+8.36%)
HINDUNILVR.NS,2350.0,2302.30 (-2.03%) | 2253.85 (-4.09%),2409.70 (+2.54%) | 2473.20 (+5.24%)
VIJAYA.NS,1005.0,991.05 (-1.39%) | 940.00 (-6.47%),1055.90 (+5.06%) | 1120.40 (+11.48%)
FEDERALBNK.NS,247.2,233.48 (-5.55%) | 213.44 (-13.66%),255.35 (+3.30%) | 266.30 (+7.73%)
MARICO.NS,749.0,736.90 (-1.62%) | 722.80 (-3.50%),759.00 (+1.34%) | 780.00 (+4.14%)
ADANIPORTS.NS,1429.0,1424.90 (-0.29%) | 1377.00 (-3.64%),1482.00 (+3.71%) | 1515.00 (+6.02%)
RPOWER.NS,33.2,31.27 (-5.81%),35.19 (+5.99%) | 37.62 (+13.31%)
GILLETTE.NS,8040.0,7700.05 (-4.23%) | 7411.65 (-7.82%),8151.00 (+1.38%) | 8462.00 (+5.25%)
TVSMOTOR.NS,3684.7,3680.00 (-0.13%) | 3599.90 (-2.30%),
TORNTPHARM.NS,4012.9,3882.20 (-3.26%) | 3787.90 (-5.61%),4104.80 (+2.29%)
AIAENG.NS,3965.0,3851.00 (-2.88%) | 3714.80 (-6.31%),
CENTURYPLY.NS,762.0,741.50 (-2.69%) | 703.90 (-7.62%),775.60 (+1.78%) | 802.60 (+5.33%)
EIDPARRY.NS,942.0,940.00 (-0.21%) | 877.00 (-6.90%),993.00 (+5.41%) | 1054.60 (+11.95%)
HINDCOPPER.NS,569.0,545.95 (-4.05%) | 511.30 (-10.14%),575.00 (+1.05%)
LUPIN.NS,2204.0,2135.00 (-3.13%) | 2080.10 (-5.62%),2225.00 (+0.95%)
UNOMINDA.NS,1192.4,1171.20 (-1.78%) | 1128.80 (-5.33%),1217.60 (+2.11%) | 1268.70 (+6.40%)
OIL.NS,457.4,448.25 (-2.00%) | 426.95 (-6.66%),489.90 (+7.11%)
HAPPSTMNDS.NS,427.3,,450.15 (+5.35%) | 467.55 (+9.42%)
GICRE.NS,364.5,352.50 (-3.29%),368.35 (+1.06%) | 382.95 (+5.06%)
^CNXREALTY,850.05,839.75 (-1.21%) | 806.05 (-5.18%),866.45 (+1.93%) | 888.30 (+4.50%)
ABSLAMC.NS,807.1,771.05 (-4.47%) | 739.50 (-8.38%),822.00 (+1.85%) | 849.05 (+5.20%)
RAMCOCEM.NS,1065.0,1041.90 (-2.17%) | 1013.50 (-4.84%),1080.00 (+1.41%) | 1124.00 (+5.54%)
BDL.NS,1517.4,1457.10 (-3.97%) | 1345.80 (-11.31%),1576.00 (+3.86%) | 1654.00 (+9.00%)
TATAELXSI.NS,5475.0,5360.00 (-2.10%) | 5157.70 (-5.80%),5506.50 (+0.58%) | 5742.95 (+4.89%)
ANANDRATHI.NS,3065.4,3030.00 (-1.15%) | 2905.00 (-5.23%),3137.00 (+2.34%) | 3321.40 (+8.35%)
DALBHARAT.NS,2174.9,2167.00 (-0.36%) | 2104.80 (-3.22%),2218.90 (+2.02%) | 2279.00 (+4.79%)
SHYAMMETL.NS,844.0,830.45 (-1.61%) | 794.80 (-5.83%),905.00 (+7.23%) | 950.00 (+12.56%)
USHAMART.NS,434.2,398.25 (-8.28%) | 379.05 (-12.70%),444.00 (+2.26%) | 467.00 (+7.55%)
BSE.NS,2834.0,2585.00 (-8.79%) | 2474.17 (-12.70%),2865.60 (+1.12%) | 3030.00 (+6.92%)
PETRONET.NS,286.5,278.05 (-2.95%) | 269.80 (-5.83%),288.35 (+0.65%) | 298.05 (+4.03%)
PTCIL.NS,18100.0,17890.00 (-1.16%) | 17149.00 (-5.25%),19387.00 (+7.11%)
INDIGO.NS,4738.0,4645.00 (-1.96%) | 4505.00 (-4.92%),4815.65 (+1.64%) | 4976.50 (+5.03%)
POLICYBZR.NS,1644.5,1625.00 (-1.19%) | 1547.25 (-5.91%),1713.95 (+4.22%) | 1780.20 (+8.25%)
PHOENIXLTD.NS,1866.1,1849.55 (-0.89%) | 1785.60 (-4.31%),1965.00 (+5.30%)
RVNL.NS,338.55,325.15 (-3.96%) | 310.30 (-8.34%),343.30 (+1.40%) | 365.00 (+7.81%)
PAGEIND.NS,34325.0,,35310.00 (+2.87%) | 36785.00 (+7.17%)
PFC.NS,373.0,357.25 (-4.22%) | 329.90 (-11.55%),379.65 (+1.78%) | 396.95 (+6.42%)
TECHNOE.NS,996.5,985.05 (-1.15%) | 907.00 (-8.98%),1043.60 (+4.73%) | 1096.00 (+9.98%)
^CNXPHARMA,22505.4,22494.90 (-0.05%) | 22170.85 (-1.49%),22794.20 (+1.28%) | 23162.45 (+2.92%)
APLLTD.NS,792.0,725.20 (-8.43%),795.50 (+0.44%) | 835.50 (+5.49%)
BRITANNIA.NS,5907.0,5860.00 (-0.80%) | 5622.70 (-4.81%),6031.00 (+2.10%) | 6149.00 (+4.10%)
IKS.NS,1705.0,1699.00 (-0.35%) | 1632.00 (-4.28%),1773.90 (+4.04%) | 1844.55 (+8.18%)
TATASTEEL.NS,189.35,186.94 (-1.27%) | 174.44 (-7.87%),
FINPIPE.NS,175.3,166.80 (-4.85%),179.52 (+2.41%) | 185.62 (+5.89%)
PREMIERENE.NS,726.5,709.05 (-2.40%),818.00 (+12.59%) | 927.55 (+27.67%)
CDSL.NS,1415.0,1365.00 (-3.53%) | 1294.00 (-8.55%),1421.00 (+0.42%) | 1474.05 (+4.17%)
ENRIN.NS,2367.0,,2508.80 (+5.99%) | 2966.10 (+25.31%)
DCMSHRIRAM.NS,1181.4,1150.00 (-2.66%) | 1094.20 (-7.38%),1210.95 (+2.50%) | 1263.20 (+6.92%)
MINDACORP.NS,569.0,548.00 (-3.69%) | 529.00 (-7.03%),575.60 (+1.16%) | 598.80 (+5.24%)
AADHARHFC.NS,477.55,460.90 (-3.49%) | 445.00 (-6.82%),491.30 (+2.88%) | 515.55 (+7.96%)
GMDCLTD.NS,572.9,538.00 (-6.09%) | 498.50 (-12.99%),581.00 (+1.41%) | 642.00 (+12.06%)
JKTYRE.NS,507.2,493.25 (-2.75%) | 476.00 (-6.15%),522.05 (+2.93%)
GMRAIRPORT.NS,99.53,99.26 (-0.27%) | 97.00 (-2.54%),106.90 (+7.40%) | 110.36 (+10.88%)
KPRMILL.NS,856.9,850.00 (-0.81%) | 794.25 (-7.31%),892.50 (+4.15%) | 987.00 (+15.18%)
CHAMBLFERT.NS,446.0,435.30 (-2.40%) | 410.20 (-8.03%),462.45 (+3.69%) | 483.95 (+8.51%)
