SYMBOL,CURRENT_PRICE,LEVEL,TYPE,STRENGTH,DIST_%
RELIANCE.NS,1451.6,1433.77,Resistance,12,-1.23
RELIANCE.NS,1451.6,1369.03,Support,23,-5.69
RELIANCE.NS,1451.6,1391.34,Support,13,-4.15
RELIANCE.NS,1451.6,1544.83,Resistance,3,6.42
RELIANCE.NS,1451.6,1340.6,Support,1,-7.65
INFY.NS,1525.4,1518.63,Support,7,-0.44
INFY.NS,1525.4,1586.58,Resistance,9,4.01
INFY.NS,1525.4,1634.6,Resistance,9,7.16
INFY.NS,1525.4,1482.5,Support,16,-2.81
INFY.NS,1525.4,1428.3,Support,10,-6.37
INFY.NS,1525.4,1555.0,Resistance,9,1.94
TCS.NS,3063.2,3488.87,Resistance,11,13.9
TCS.NS,3063.2,3334.9,Support,11,8.87
TCS.NS,3063.2,3177.33,Support,4,3.73
TCS.NS,3063.2,3065.77,Support,10,0.08
TCS.NS,3063.2,3004.79,Support,17,-1.91
TCS.NS,3063.2,2855.95,Support,1,-6.77
