Stock,Current Price,Date,Gap Type,Gap Size,Gap Range,Near Price,Gap Size %,Gap Dist Start %,Gap Dist End %
ADANIENT,2524.1,19-09-25,Bullish Gap,28.1,"(2438.00, 2466.10)",TRUE,1.17,2.3,3.41
ATGL,629.25,19-09-25,Bullish Gap,23.3,"(610.95, 634.25)",TRUE,3.84,-0.79,2.91
ABLBL,139.51,06-10-25,Bullish Gap,6.64,"(136.91, 143.55)",TRUE,4.87,-2.9,1.86
BLUESTARCO,1892.4,18-08-25,Bullish Gap,49,"(1801.00, 1850.00)",TRUE,2.74,2.24,4.83
COFORGE,1713.7,22-09-25,Bearish Gap,45.5,"(1792.10, 1746.60)",TRUE,2.53,-1.92,-4.57
ICICIPRULI,592.9,12-05-25,Bullish Gap,8.24,"(582.08, 590.32)",TRUE,1.42,0.44,1.83
IIFL,489.45,31-07-25,Bearish Gap,5.15,"(501.90, 496.75)",TRUE,1.02,-1.49,-2.54
IREDA,148.64,19-03-25,Bullish Gap,8.89,"(138.16, 147.05)",TRUE,6.43,1.07,7.05
INDIGO,5635,24-06-25,Bullish Gap,85.36,"(5475.25, 5560.60)",TRUE,1.56,1.32,2.84
LODHA,1128.7,19-03-25,Bullish Gap,49.34,"(1060.50, 1109.84)",TRUE,4.65,1.67,6.04
M&M,3426.5,04-09-25,Bullish Gap,169.7,"(3293.70, 3463.40)",TRUE,5.16,-1.08,3.88
MFSL,1568.7,08-08-25,Bullish Gap,20.3,"(1510.00, 1530.30)",TRUE,1.35,2.45,3.74
PIIND,3497.6,11-04-25,Bullish Gap,119.71,"(3291.92, 3411.63)",TRUE,3.64,2.46,5.88
PERSISTENT,5263.6,22-09-25,Bearish Gap,115.5,"(5476.00, 5360.50)",TRUE,2.1,-1.84,-4.04
RAINBOW,1314.4,19-03-25,Bullish Gap,33.83,"(1247.61, 1281.45)",TRUE,2.71,2.51,5.08
SJVN,89.92,12-05-25,Bullish Gap,2.22,"(89.48, 91.70)",TRUE,2.51,-1.98,0.49
SKFINDIA,4867.9,03-10-25,Bullish Gap,51.8,"(4778.00, 4829.80)",TRUE,1.09,0.78,1.85
SOLARINDS,14007,03-10-25,Bullish Gap,226,"(13374.00, 13600.00)",TRUE,1.69,2.91,4.52
SAIL,131.72,08-09-25,Bullish Gap,2.16,"(128.00, 130.16)",TRUE,1.7,1.18,2.83
TBOTEK,1544.7,03-09-25,Bullish Gap,91.9,"(1412.80, 1504.70)",TRUE,6.65,2.59,8.54
TCS,3027.2,22-09-25,Bearish Gap,37.1,"(3144.00, 3106.90)",TRUE,1.17,-2.63,-3.86
